Zone_ID,Longitude,Latitude,Roads
P149,118.69917,31.01666,"[30059, 30008, 30057, 30039, 30059, 30008, 30057, 30039]"
P73,118.77586,30.95213,"[1122, 1100, 1105, 1103, 1105, 1103, 1122, 1100]"
P374,118.78241,30.90986,"[30026, 30024, 30157, 30158, 30026, 30024, 30157, 30158]"
P84,118.67724,30.94181,"[30108, 30105, 30093, 30109, 30108, 30105, 30093, 30109]"
P182,118.70361,30.94714,"[21165, 21175, 21161, 21159, 21175, 21161, 21159, 21165]"
P545,118.8281,30.94214,"[21267, 21267]"
P66,118.70559,31.01627,"[30038, 30057, 30009, 30061, 30038, 30057, 30009, 30061]"
P23,118.72893,30.91237,"[30031, 30176, 30177, 30179, 30031, 30176, 30177, 30179]"
P48,118.6712,30.94678,"[30094, 30095, 30123, 30113, 30114, 30090, 30093, 30094, 30095, 30123, 30113, 30114, 30090, 30093]"
P113,118.66294,30.94527,"[30123, 30096, 30120, 30119, 30123, 30096, 30120, 30119]"
P707,118.71587,30.91137,"[30031, 30153]"
P219,118.64017,30.98573,"[30063, 30063]"
P190,118.64889,30.95758,"[30117, 30147, 30149, 30146, 30117, 30147, 30149, 30146]"
P148,118.77333,30.93135,"[1048, 21135, 21137, 21246, 21137, 21246, 1048, 21135]"
P183,118.72459,31.01675,"[30020, 30164, 30016, 30049, 30020, 30164, 30016, 30049]"
P35,118.84442,30.99321,"[21293, 21293]"
P154,118.77011,30.93565,"[1033, 1048, 1044, 1031, 1033, 1048, 1044, 1031]"
P174,118.74762,30.9421,"[8004, 1013, 1016, 8004, 1013, 1016]"
P4,118.66329,30.96473,"[30137, 30135, 30136, 30137, 30135, 30136]"
P32,118.64605,30.94798,"[30125, 30128, 30127, 30125, 30128, 30127]"
P100,118.78215,30.94921,"[1212, 1126, 1208, 1058, 1212, 1126, 1208, 1058]"
P460,118.82741,30.96815,"[21280, 21280]"
P57,118.70492,31.0133,"[30007, 30059, 30037, 30160, 30162, 30168, 30007, 30059, 30037, 30160, 30162, 30168]"
P695,118.83471,30.95213,"[21267, 21266, 21252, 21253, 21259, 21269]"
P109,118.74624,30.95363,"[1203, 1201, 30193, 1227, 1070, 1201, 30193, 1227, 1070, 1203]"
P162,118.76485,30.94146,"[1041, 1037, 1028, 1043, 1041, 1037, 1028, 1043]"
P156,118.74883,30.94853,"[1003, 1001, 1004, 1006, 1003, 1001, 1004, 1006]"
P389,118.78714,30.90263,"[30159, 30023, 30069, 30159, 30023, 30069]"
P94,118.73999,30.93828,"[1217, 1054, 1052, 1217, 1054, 1052]"
P602,118.87286,30.97732,"[21278, 21260, 21277]"
P837,118.8233,30.96365,[21275]
P133,118.71305,30.94228,"[21186, 21160, 21185, 21186, 21160, 21185]"
P446,118.81659,30.96701,"[21279, 21279]"
P167,118.74584,30.95715,"[1226, 30193, 1060, 30192, 1226, 30193, 1060, 30192]"
P603,118.83743,30.98103,"[21277, 21259, 21273]"
P532,118.65617,30.93048,"[30173, 30173]"
P108,118.72055,30.9428,"[15207, 21218, 15217, 1222, 15207, 21218, 15217, 1222]"
P115,118.73112,30.96782,"[30182, 30185, 30184, 1211, 30182, 30185, 30184, 1211]"
P200,118.80292,30.94599,"[21289, 21289]"
P196,118.65047,30.94854,"[30124, 30040, 30126, 30128, 30040, 30126, 30128, 30124]"
P202,118.88767,30.95629,"[30065, 30065]"
P102,118.6695,30.93824,"[30106, 30103, 30104, 30112, 30104, 30112, 30106, 30103]"
P10,118.76176,30.92018,"[30033, 21243, 21245, 30033, 21243, 21245, 30154, 30155]"
P164,118.72643,30.93629,"[21203, 21224, 21197, 21220, 21203, 21224, 21197, 21220]"
P169,118.72635,30.95861,"[30190, 30186, 30187, 1073, 1204, 30190, 30186, 30187, 1073, 1204]"
P186,118.71947,30.93636,"[21193, 21223, 21198, 21228, 21228, 21193, 21223, 21198]"
P69,118.72199,30.92179,"[21241, 21206, 21236, 21210, 21241, 21206, 21236, 21210]"
P222,118.74916,30.91713,"[21292, 21292]"
P51,118.7314,31.01377,"[30167, 30165, 30166, 30167, 30165, 30166]"
P157,118.74943,30.94462,"[1011, 1008, 1006, 1009, 1006, 1009, 1011, 1008]"
P54,118.747,30.90492,"[30156, 30154, 30062, 30026, 30068, 30067, 30171, 30170, 30030, 30156, 30030, 30154, 30062, 30026, 30068, 30067, 30171, 30170]"
P86,118.73085,30.94682,"[1056, 30191, 30198, 1228, 8003, 1228, 8003, 1056, 30191, 30198]"
P198,118.7094,31.02572,"[30003, 30045, 30054, 30001, 30045, 30054, 30001, 30003]"
P193,118.72056,31.02616,"[30005, 30018, 30055, 30014, 30005, 30018, 30055, 30014]"
P20,118.82966,30.9497,"[21264, 8006, 21251, 21266, 21288, 21283, 30066, 21264, 8006, 21251, 21266, 21288, 21283, 30066]"
P22,118.74091,31.03379,"[30075, 30074, 30075, 30074]"
P158,118.75228,30.93557,"[1042, 1034, 1045, 1130, 1045, 1130, 1042, 1034]"
P72,118.76544,30.94631,"[1099, 1037, 1127, 1106, 1099, 1037, 1127, 1106]"
P18,118.67544,30.93869,"[30110, 30108, 30091, 30028, 30103, 30107, 30110, 30110, 30108, 30091, 30028, 30103, 30107, 30110]"
P207,118.7509,30.95622,"[1108, 1110, 1232, 1233, 1123, 1103, 30197, 30196, 30195, 30203, 30204, 1069, 1022, 1002, 1023, 1227, 30204, 30203, 30194, 1107, 1109, 30196, 1108, 1110, 1232, 1233, 1123, 1103, 30197, 30195, 30203, 30204, 1226, 1225, 1110, 1108]"
P89,118.78145,30.95286,"[1123, 1125, 1058, 1122, 1058, 1122, 1123, 1125]"
P221,118.71871,30.92066,"[21282, 21282]"
P105,118.75927,30.94634,"[1059, 1127, 1015, 1010, 1018, 1059, 1127, 1015, 1010, 1018]"
P131,118.68108,30.97155,"[21148, 21154, 21153, 21153, 21148, 21154]"
P27,118.68318,31.03825,"[30082, 30083, 30082, 30083]"
P124,118.71279,30.95022,"[21158, 21159, 15641, 1219, 21158, 21159, 15641, 1219]"
P31,118.67197,30.99437,"[21155, 21287, 21154, 21149, 21150, 30035, 30036, 30084, 21155, 21287, 21154, 21149, 21150, 30035, 30036, 30084]"
P344,118.78651,30.90886,"[30086, 30023, 30169, 30024, 30062, 30086, 30023, 30169, 30024, 30062]"
P111,118.73739,30.96719,"[30182, 1210, 1230, 1231, 1066, 30181, 30182, 1210, 1230, 1231, 1066, 30181]"
P411,118.77771,30.94942,"[1100, 1208, 1100, 1208]"
P130,118.8074,30.95602,"[21257, 21263, 21257, 21263]"
P192,118.7145,31.0259,"[30014, 30053, 30045, 30004, 30004, 30014, 30053, 30045]"
P588,118.70605,30.93017,"[21195, 21195]"
P178,118.75293,30.9494,"[1005, 1007, 1004, 1002, 1005, 1007, 1004, 1002]"
P55,118.72406,30.89583,"[30085, 30170, 30171, 30067, 30068, 30085, 30170, 30171, 30067, 30068]"
P50,118.7303,31.01782,"[30166, 30020, 30050, 30166, 30020, 30050]"
P531,118.65995,30.92071,"[30172, 30172]"
P166,118.74128,30.95698,"[1060, 1067, 1076, 1060, 1067, 1076]"
P163,118.71811,30.94059,"[21190, 21218, 21192, 21222, 21190, 21218, 21192, 21222]"
P227,118.74087,30.97222,"[1207, 1207]"
P179,118.71029,30.93622,"[21194, 21232, 21187, 21227, 21187, 21227, 21194, 21232]"
P153,118.77606,30.93703,"[1032, 1029, 1049, 1033, 1029, 1049, 1033, 1032]"
P184,118.65607,30.94926,"[30121, 30040, 30116, 30118, 30116, 30118, 30121, 30040]"
P101,118.7424,30.96903,"[30201, 30199, 1230, 1233, 1230, 1233, 30201, 30199]"
P132,118.73211,31.02799,"[30076, 30018, 30006, 30073, 30076, 30018, 30006, 30073]"
P134,118.65127,30.94376,"[30130, 30126, 30122, 30129, 30130, 30126, 30122, 30129]"
P362,118.78157,30.9321,"[21248, 21248]"
P95,118.74205,30.94248,"[1054, 1036, 1053, 1054, 1036, 1053]"
P220,118.68119,30.96141,"[21281, 21281]"
P589,118.70459,30.92718,"[21238, 21238]"
P33,118.647,30.93985,"[30127, 30130, 30131, 30027, 30127, 30130, 30131, 30027]"
P170,118.65448,30.9583,"[30141, 30143, 30117, 30140, 30141, 30143, 30117, 30140]"
P46,118.7165,30.97765,"[30163, 21143, 21144, 1206, 1207, 1210, 1211, 1205, 21146, 21147, 21153, 21287, 21155, 30163, 1205, 21146, 21147, 21153, 21287, 21155, 21143, 21144, 1206, 1207, 1210, 1211]"
P121,118.73387,30.93924,"[1214, 1025, 1026, 1215, 1214, 1025, 1026, 1215]"
P160,118.75641,30.94137,"[1015, 1041, 1040, 1034, 1014, 1012, 1015, 1041, 1040, 1034, 1014, 1012]"
P125,118.71108,30.95589,"[21145, 1079, 15641, 21156, 21145, 1079, 15641, 21156]"
P129,118.80495,30.95388,"[8006, 21262, 21256, 21263, 8006, 21262, 21256, 21263]"
P155,118.71594,30.92425,"[21240, 21200, 21235, 21206, 21200, 21235, 21206, 21240]"
P143,118.72141,30.93021,"[21138, 21229, 21139, 21140, 21138, 21229, 21139, 21140]"
P21,118.72916,31.0324,"[30074, 30006, 30017, 30078, 30074, 30006, 30017, 30078]"
P438,118.71737,30.94745,"[1218, 21184, 21158, 1218, 21184, 21158]"
P128,118.71936,31.03113,"[30017, 30005, 30013, 30077, 30017, 30005, 30013, 30077]"
P139,118.73879,30.93226,"[1216, 15342, 21212, 21211, 1217, 21211, 1217, 1216, 15342, 21212]"
P195,118.70606,31.02486,"[30001, 30052, 30002, 30001, 30052, 30002]"
P474,118.81743,30.95894,"[21258, 21258]"
P146,118.70566,31.02104,"[30009, 30058, 30052, 30000, 30009, 30058, 30052, 30000]"
P39,118.73515,31.02493,"[30050, 30019, 30076, 30056, 30050, 30019, 30076, 30056]"
P667,118.76501,30.91513,"[30155, 30156]"
P106,118.7568,30.95015,"[1018, 1005, 1021, 1061, 1018, 1005, 1021, 1061]"
P59,118.87147,30.95839,"[21269, 21260, 21261, 21269, 21260, 21261]"
P30,118.81329,30.95539,"[21265, 21265]"
P550,118.70147,30.99771,"[21286, 21286]"
P636,118.66585,30.92047,"[30027, 30132, 30173, 30172, 30032, 30085]"
P135,118.65226,30.93796,"[30131, 30129, 30098, 30132, 30129, 30098, 30132, 30131]"
P177,118.69977,30.94175,"[21174, 21171, 21178, 21166, 21174, 21171, 21178, 21166]"
P13,118.70526,30.94146,"[21170, 21174, 21165, 21160, 21187, 21173, 21170, 21170, 21174, 21165, 21160, 21187, 21173, 21170]"
P140,118.71456,30.93186,"[21199, 21234, 21233, 21194, 21228, 21138, 21199, 21234, 21233, 21194, 21228, 21138]"
P188,118.65525,30.95379,"[30143, 30144, 30116, 30145, 30145, 30143, 30144, 30116]"
P26,118.67376,30.96181,"[21152, 21148, 21147, 30114, 30133, 30138, 21152, 21148, 21147, 30114, 30133, 30138]"
P38,118.69383,30.94987,"[21168, 21169, 21183, 21164, 30090, 21146, 21156, 21161, 21176, 21183, 21169, 21164, 30090, 21146, 21156, 21161, 21176, 21168]"
P194,118.72247,31.02116,"[30019, 30049, 30015, 30055, 30049, 30015, 30055, 30019]"
P144,118.71893,30.92751,"[21140, 21205, 21235, 21199, 21140, 21205, 21235, 21199]"
P122,118.65802,30.93876,"[30100, 30098, 30097, 30099, 30100, 30098, 30097, 30099]"
P85,118.6723,30.94187,"[30094, 30105, 30107, 30111, 30094, 30105, 30107, 30111]"
P176,118.76582,30.92982,"[21246, 30202, 15363, 1131, 21246, 30202, 15363, 1131]"
P137,118.71637,30.9421,"[21221, 21185, 21217, 21190, 21221, 21185, 21217, 21190]"
P142,118.72902,30.92323,"[21237, 21209, 21231, 21215, 21237, 21209, 21231, 21215]"
P7,118.73503,30.91234,"[30178, 30177, 30180, 30178, 30177, 30180]"
P98,118.74253,30.95065,"[1202, 1024, 1224, 1068, 1203, 1068, 1203, 1202, 1024, 1224]"
P3,118.65557,30.9799,"[30136, 30135, 30139, 30140, 30174, 30175, 30041, 30042, 30043, 30036, 30035, 21150, 21151, 30136, 30036, 30035, 21150, 21151, 30135, 30139, 30140, 30174, 30175, 30041, 30042, 30043]"
P14,118.83401,30.89906,"[30072, 30071, 30070, 30088, 30072, 30071, 30070, 30088]"
P114,118.72696,30.96605,"[1205, 30184, 30189, 30190, 30184, 30189, 30190, 1205]"
